ParasiteCorrectedName,Insect,GenusOnly,Commensal?,ZooScore,ConfidenceScore,XC ZooScore,XC CScore,XC Notes,XC WhoBy,XC Date,PGF ZooScore,PGF CScore,PGF notes,Non-GMPD,SearchStringGoog,Googlehits(As of 2/8/2017),SearchStringWOS,WOShits (As of 2/6/2017),Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode
Acanthocephalus anguillae ,,0,,-1,3,-1,1,,VR,42765,,,,0,Acanthocephalus anguillae      ,1410,Acanthocephalus anguillae      ,57,,Kennedy and Moriarty 1987,,VR,42765,,,,0
Acanthocephalus ranae ,,0,,-1,3,-1,2,,VR,42765,,,,0,Acanthocephalus ranae      ,431,Acanthocephalus ranae      ,23,,"Heckmann et al., 2011",,VR,42765,,,,0
Acanthocheilonema dracunculoides ,,0,,-1,1,-1,2,,VR,42765,,,,,Acanthocheilonema dracunculoides      ,217,Acanthocheilonema dracunculoides      ,13,H: dog,"Casiraghi et al., 2006",,VR,42765,,,,0
Acanthocheilonema gracile ,,0,,-1,2,-1,2,,VR,42765,,,,,Acanthocheilonema gracile      ,65,Acanthocheilonema gracile      ,0,H: primate,"Bain et al., 2008",,VR,42765,,,,1
Acanthocheilonema perstans,,0,,0,1,0,2,,VR,42765,,,,,Acanthocheilonema perstans      ,713,Acanthocheilonema perstans      ,4,,"Adolph et al., 1962",,VR,42765,,,,1
Acanthocheilonema procyonis ,,0,,-1,1,-1,3,,VR,42765,,,,,Acanthocheilonema procyonis      ,52,Acanthocheilonema procyonis      ,2,H: Raccoons ,"Rabinowitz et al., 1985",,VR,42765,,,,1
Acanthocheilonema reconditum ,,0,,2,1,-1,2,,VR,42765,,,,,Acanthocheilonema reconditum      ,404,Acanthocheilonema reconditum      ,39,H: Fox to Dog,"Brianti et al., 2012",NEED,VR,42765,,,,1
Acanthocheilonema spirocauda ,,0,,-1,1,-1,3,,VR,42765,,,,,Acanthocheilonema spirocauda      ,82,Acanthocheilonema spirocauda      ,9,H: Seals,"Papadopoulos et al., 2010",,VR,42765,,,,1
Acinetobacter antiviralis ,,0,,,,-1,3,,VR,42765,,,,,Acinetobacter antiviralis      ,64,Acinetobacter antiviralis      ,1,Bacterium,"Lee et al., 2009",,VR,42765,,,,0
Acinetobacter baumannii ,,0,,3,1,3,1,,VR,42765,,,,,Acinetobacter baumannii      ,65700,Acinetobacter baumannii      ,7371,contaminated meat,"Peleg et al., 2008",,VR,42765,,,,0
Acinetobacter calcoaceticus ,,0,,3,1,3,1,,VR,42765,,,,,Acinetobacter calcoaceticus      ,22700,Acinetobacter calcoaceticus      ,2464,,"Getchell-White et al., 1989",NEED,VR,42765,,,,0
Acinetobacter lwoffii ,,0,,0,2,0,1,,VR,42765,,,,,Acinetobacter lwoffii      ,5460,Acinetobacter lwoffii      ,248,,"Wang et al., 2012",,VR,42765,,,,0
Actinobacillus actinomycetemcomitans ,,0,,0,2,0,1,,VR,42765,,,,,Actinobacillus actinomycetemcomitans      ,18500,Actinobacillus actinomycetemcomitans      ,4585,Bacteria,"Slots et al., 1980",,VR,42765,,,,0
Actinobacillus equuli ,,0,,2,1,1,1,,VR,42765,,,,,Actinobacillus equuli      ,1300,Actinobacillus equuli      ,100,"H: horses ""sleepy foal disease""","Ashhurst-Smith et al., 1998",,VR,42765,,,,0
Aelurostrongylus abstrusus ,,0,,-1,2,-1,1,,VR,42765,,,,,Aelurostrongylus abstrusus      ,1110,Aelurostrongylus abstrusus      ,162,H: Cat,"Taubert et al., 2009",,Vr,42765,,,,1
